Element,Wavelength,Intensity,Strength,On,Reference
Fe I,2999.5117,50,,True,NJLT94
Fe I,3000.9478,80,,True,NJLT94
Fe I,3008.1382,50,,True,NJLT94
Fe II,3020.01,40,,True,C74
Fe I,3020.4907,50,,True,NJLT94
Fe I,3020.6389,150,,True,NJLT94
Fe I,3021.0728,60,,True,NJLT94
Fe I,3024.0327,50,,True,NJLT94
Fe I,3025.8423,50,,True,NJLT94
Fe I,3037.3887,80,,True,NJLT94
Fe I,3047.6045,80,,True,NJLT94
Fe I,3057.4458,60,,True,NJLT94
Fe I,3059.0857,100,,True,NJLT94
Fe I,3193.2258,50,,True,NJLT94
Fe I,3193.2998,80,,True,NJLT94
Fe I,3222.0591,30,,True,NJLT94
Fe I,3225.7871,60,,True,NJLT94
Fe I,3236.2224,30,,True,NJLT94
Fe I,3355.2278,40,,True,NJLT94
Fe I,3407.4597,50,,True,NJLT94
Fe I,3427.1194,50,,True,NJLT94
Fe I,3440.606,400,P,True,NJLT94
Fe I,3440.9888,250,,True,NJLT94
Fe I,3443.8765,100,,True,NJLT94
Fe I,3465.8606,120,,True,NJLT94
Fe I,3475.4502,200,,True,NJLT94
Fe I,3476.7019,50,,True,NJLT94
Fe I,3490.574,250,,True,NJLT94
Fe I,3497.8406,50,,True,NJLT94
Fe I,3521.2612,30,,True,NJLT94
Fe I,3526.0408,40,,True,NJLT94
Fe I,3541.0833,30,,True,NJLT94
Fe I,3554.9246,40,,True,NJLT94
Fe I,3558.5151,40,,True,NJLT94
Fe I,3565.3789,100,,True,NJLT94
Fe I,3570.0977,120,,True,NJLT94
Fe I,3570.2542,80,,True,NJLT94
Fe I,3581.1931,600,P,True,NJLT94
Fe I,3585.3188,30,,True,NJLT94
Fe I,3586.9849,40,,True,NJLT94
Fe I,3606.6794,50,,True,NJLT94
Fe I,3608.8594,150,,True,NJLT94
Fe I,3618.7678,150,,True,NJLT94
Fe I,3631.4631,120,,True,NJLT94
Fe I,3647.8428,150,,True,NJLT94
Fe I,3679.9133,150,,True,NJLT94
Fe I,3687.4568,50,,True,NJLT94
Fe I,3705.5659,120,,True,NJLT94
Fe I,3707.9199,30,,True,NJLT94
Fe I,3709.2463,60,,True,NJLT94
Fe I,3719.9348,600,P,True,NJLT94
Fe I,3722.563,150,,True,NJLT94
Fe I,3727.6189,50,,True,NJLT94
Fe I,3733.3176,120,,True,NJLT94
Fe I,3734.8638,700,P,True,NJLT94
Fe I,3737.1316,600,P,True,NJLT94
Fe I,3743.3621,40,,True,NJLT94
Fe I,3745.5613,600,P,True,NJLT94
Fe I,3745.8994,120,,True,NJLT94
Fe I,3748.2622,300,P,True,NJLT94
Fe I,3749.4854,400,P,True,NJLT94
Fe I,3758.2329,300,P,True,NJLT94
Fe I,3760.0498,40,,True,NJLT94
Fe I,3763.7891,150,,True,NJLT94
Fe I,3765.5388,40,,True,NJLT94
Fe I,3767.1919,60,,True,NJLT94
Fe I,3795.0022,40,,True,NJLT94
Fe I,3799.5476,40,,True,NJLT94
Fe I,3812.9646,60,,True,NJLT94
Fe I,3815.8403,150,,True,NJLT94
Fe I,3820.4253,500,P,True,NJLT94
Fe I,3824.4436,250,,True,NJLT94
Fe I,3825.8811,150,,True,NJLT94
Fe I,3827.8225,120,,True,NJLT94
Fe I,3834.2224,100,,True,NJLT94
Fe I,3840.4375,50,,True,NJLT94
Fe I,3841.0481,80,,True,NJLT94
Fe I,3856.3716,250,,True,NJLT94
Fe I,3859.9114,500,P,True,NJLT94
Fe I,3878.5732,150,,True,NJLT94
Fe I,3886.2822,300,P,True,NJLT94
Fe I,3888.5134,30,,True,NJLT94
Fe I,3895.6565,80,,True,NJLT94
Fe I,3899.7075,120,,True,NJLT94
Fe I,3902.9458,40,,True,NJLT94
Fe I,3920.2581,60,,True,NJLT94
Fe I,3922.9119,120,,True,NJLT94
Fe I,3927.9199,120,,True,NJLT94
Fe I,3930.2966,200,,True,NJLT94
Fe I,4005.2419,40,,True,NJLT94
Fe I,4045.8125,300,P,True,NJLT94
Fe I,4063.5942,150,,True,NJLT94
Fe I,4071.738,120,,True,NJLT94
Fe I,4132.0581,40,,True,NJLT94
Fe I,4143.8682,80,,True,NJLT94
Fe I,4202.0293,30,,True,NJLT94
Fe I,4216.1836,40,,True,NJLT94
Fe I,4250.7871,30,,True,NJLT94
Fe I,4260.4746,80,,True,NJLT94
Fe I,4271.7607,120,,True,NJLT94
Fe I,4282.4028,120,,True,NJLT94
Fe I,4307.9023,120,,True,NJLT94
Fe I,4325.7622,150,,True,NJLT94
Fe I,4375.9302,80,,True,NJLT94
Fe I,4383.5449,200,P,True,NJLT94
Fe I,4404.7505,120,,True,NJLT94
Fe I,4415.1226,30,,True,NJLT94
Fe I,4427.2979,60,,True,NJLT94
Fe I,4461.6528,40,,True,NJLT94
Fe I,4920.5029,50,,True,NJLT94
Fe I,4957.5967,150,,True,NJLT94
Fe I,5167.4883,250,,True,NJLT94
Fe I,5171.5962,50,,True,NJLT94
Fe I,5227.1509,100,,True,NJLT94
Fe I,5269.5376,120,,True,NJLT94
Fe I,5270.3564,80,,True,NJLT94
Fe I,5328.0386,80,,True,NJLT94
Fe I,5328.5317,30,,True,NJLT94
Fe I,5341.0239,50,,True,NJLT94
Fe I,5371.4897,40,,True,NJLT94
Fe I,5397.1279,30,,True,NJLT94
Fe II,6247.56,50,,True,RMW44
Fe II,6456.38,120,,True,RMW44
Fe I,11607.5752,25,,True,NJLT94
Fe I,11689.9756,25,,True,NJLT94
Fe I,11882.8467,60,,True,NJLT94
Fe I,11973.0498,100,,True,NJLT94
Cu II,1999.698,150,P,True,R69
Cu II,2035.854,200,P,True,R69
Cu II,2037.127,150,P,True,R69
Cu II,2043.802,250,P,True,R69
Cu II,2135.981,600,P,True,R69
Cu I,2165.09,130,P,True,S48
Cu I,2178.94,150,P,True,S48
Cu II,2179.41,500,,True,R69
Cu I,2181.72,150,P,True,S48
Cu II,2189.63,500,,True,R69
Cu II,2192.268,600,P,True,R69
Cu I,2199.58,150,,True,S48
Cu II,2210.268,500,,True,R69
Cu I,2214.58,150,,True,S48
Cu II,2218.108,500,P,True,R69
Cu I,2225.7,200,P,True,S48
Cu I,2227.78,150,,True,S48
Cu I,2230.08,250,P,True,S48
Cu II,2242.618,600,,True,R69
Cu I,2244.26,250,P,True,S48
Cu II,2247.002,700,P,True,R69
Cu I,2263.08,200,,True,S48
Cu I,2293.84,250,,True,S48
Cu I,2392.63,250,,True,S48
Cu I,2406.66,150,,True,S48
Cu I,2441.64,100,P,True,S48
Cu I,2492.15,200,P,True,S48
Cu I,2618.37,250,,True,S48
Cu II,2689.3,500,,True,R69
Cu II,2700.962,500,,True,R69
Cu II,2703.184,400,,True,R69
Cu II,2713.508,500,,True,R69
Cu II,2718.778,400,,True,R69
Cu I,2766.37,250,,True,S48
Cu II,2769.669,500,,True,R69
Cu II,2877.1,400,,True,R69
Cu I,2961.16,250,,True,S48
Cu I,3036.1,250,,True,S48
Cu I,3063.41,250,,True,S48
Cu I,3108.6,200,,True,S48
Cu I,3194.1,150,,True,S48
Cu I,3243.16,150,h,True,S48
Cu I,3247.54,1000,P,True,S48
Cu I,3273.96,1000,P,True,S48
Cu I,3290.54,150,h,True,S48
Cu I,3307.95,250,h,True,S48
Cu I,3337.84,150,,True,S48
Cu I,3530.38,200,,True,S48
Cu II,3686.555,700,,True,R69
Cu I,4062.64,200,,True,S48
Cu I,4651.12,200,,True,S48
Cu II,4909.734,700,,True,R69
Cu II,4931.698,600,,True,R69
Cu II,4953.724,500,,True,R69
Cu II,5051.793,600,,True,R69
Cu I,5105.54,150,P,True,S48
Cu I,5153.24,200,P,True,S48
Cu I,5218.2,250,P,True,S48
Cu I,5292.52,150,,True,S48
Cu I,5700.24,150,,True,S48
Cu I,5782.13,150,,True,S48
Cu II,6000.12,400,,True,R69
Cu II,6150.384,400,,True,R69
Cu II,6154.222,500,,True,R69
Cu II,6216.939,500,,True,R69
Cu II,6219.844,500,,True,R69
Cu II,6273.349,700,,True,R69
Cu II,6301.009,600,,True,R69
Cu II,6377.84,500,,True,R69
Cu II,6423.884,600,,True,R69
Cu II,6448.559,500,,True,R69
Cu II,6470.168,600,,True,R69
Cu II,6481.437,500,,True,R69
Cu II,6624.292,500,,True,R69
Cu II,6641.396,500,,True,R69
Cu II,7404.354,700,,True,R69
Cu II,7652.333,500,,True,R69
Cu II,7664.648,700,,True,R69
Cu II,7778.738,500,,True,R69
Cu II,7805.184,500,,True,R69
Cu II,7807.659,1000,,True,R69
Cu II,7825.654,700,,True,R69
Cu II,7902.553,500,,True,R69
Cu I,7933.13,150,,True,S48
Cu II,7988.163,800,,True,R69
Cu I,8092.63,200,,True,S48
Cu II,8283.16,500,,True,R69
Cu II,8511.061,500,,True,R69
Cu II,9861.28,400,,True,R69
Cu II,9864.137,400,,True,R69
Cu II,10054.938,400,,True,R69
Ar II,2420.456,2,,True,N73
Ar II,2516.789,3,,True,N73
Ar II,2534.709,3,,True,N73
Ar II,2562.087,5,,True,N73
Ar II,2891.612,8,,True,N73
Ar II,2942.893,70,,True,N73
Ar II,2979.05,30,,True,N73
Ar II,3033.508,15,,True,N73
Ar II,3093.402,15,,True,N73
Ar II,3243.689,7,,True,N73
Ar II,3293.64,8,,True,N73
Ar II,3307.228,7,,True,N73
Ar II,3350.924,8,,True,N73
Ar II,3376.436,8,,True,N73
Ar II,3388.531,8,,True,N73
Ar II,3476.747,25,,True,N73
Ar II,3478.232,7,,True,N73
Ar II,3491.244,15,,True,N73
Ar II,3491.536,30,,True,N73
Ar II,3509.778,25,,True,N73
Ar II,3514.388,25,,True,N73
Ar II,3545.596,25,,True,N73
Ar II,3545.845,25,,True,N73
Ar II,3559.508,30,,True,N73
Ar II,3561.03,30,,True,N73
Ar II,3576.616,25,,True,N73
Ar II,3581.608,8,,True,N73
Ar II,3582.355,15,,True,N73
Ar II,3588.441,25,,True,N73
Ar II,3622.138,8,,True,N73
Ar II,3639.833,7,,True,N73
Ar II,3718.206,12,,True,N73
Ar II,3729.309,25,,True,N73
Ar II,3737.889,15,,True,N73
Ar II,3765.27,50,,True,N73
Ar II,3766.119,15,,True,N73
Ar I,3770.369,1,,True,N73
Ar II,3770.52,7,,True,N73
Ar II,3780.84,8,,True,N73
Ar II,3803.172,8,,True,N73
Ar II,3809.456,15,,True,N73
Ar II,3850.581,25,,True,N73
Ar II,3868.528,12,,True,N73
Ar II,3925.719,12,,True,N73
Ar II,3928.623,15,,True,N73
Ar II,3932.547,8,,True,N73
Ar II,3946.097,25,,True,N73
Ar I,3948.979,1,,True,N73
Ar II,3979.356,7,,True,N73
Ar II,3994.792,12,,True,N73
Ar II,4013.857,15,,True,N73
Ar II,4033.809,15,,True,N73
Ar II,4035.46,7,,True,N73
Ar II,4042.894,50,,True,N73
Ar I,4044.418,1,,True,N73
Ar II,4052.921,30,,True,N73
Ar II,4072.005,70,,True,N73
Ar II,4072.385,25,,True,N73
Ar II,4076.628,8,,True,N73
Ar II,4079.574,12,,True,N73
Ar II,4082.387,8,,True,N73
Ar II,4103.912,50,,True,N73
Ar II,4131.724,100,,True,N73
Ar II,4156.086,12,,True,N73
Ar I,4158.59,11,,True,N73
Ar I,4164.18,1,,True,N73
Ar II,4179.297,12,,True,N73
Ar I,4181.884,1,,True,N73
Ar I,4190.713,3,,True,N73
Ar I,4191.029,1,,True,N73
Ar I,4198.317,6,,True,N73
Ar I,4200.674,11,,True,N73
Ar II,4218.665,8,,True,N73
Ar II,4222.637,8,,True,N73
Ar II,4226.988,8,,True,N73
Ar II,4228.158,30,,True,N73
Ar II,4237.22,30,,True,N73
Ar I,4251.185,1,,True,N73
Ar I,4259.362,6,,True,N73
Ar I,4266.286,3,,True,N73
Ar II,4266.527,25,,True,N73
Ar I,4272.169,4,,True,N73
Ar II,4277.528,200,P,True,N73
Ar II,4282.898,7,,True,N73
Ar I,4300.101,3,,True,N73
Ar II,4300.65,8,,True,N73
Ar II,4309.239,25,,True,N73
Ar II,4331.2,70,,True,N73
Ar II,4332.03,15,,True,N73
Ar I,4333.561,3,,True,N73
Ar I,4335.338,1,,True,N73
Ar I,4345.168,1,,True,N73
Ar II,4348.064,250,P,True,N73
Ar II,4352.205,15,,True,N73
Ar II,4362.066,8,,True,N73
Ar II,4367.832,15,,True,N73
Ar II,4370.753,70,,True,N73
Ar II,4371.329,25,,True,N73
Ar II,4375.954,15,,True,N73
Ar II,4379.667,50,,True,N73
Ar II,4385.057,15,,True,N73
Ar II,4400.097,25,,True,N73
Ar II,4400.986,70,,True,N73
Ar II,4426.001,130,,True,N73
Ar II,4430.189,50,,True,N73
Ar II,4430.996,15,,True,N73
Ar II,4433.838,15,,True,N73
Ar II,4439.461,7,,True,N73
Ar II,4448.879,12,,True,N73
Ar II,4474.759,30,,True,N73
Ar II,4481.811,70,,True,N73
Ar I,4510.733,3,,True,N73
Ar I,4522.323,1,,True,N73
Ar II,4530.552,7,,True,N73
Ar II,4545.052,130,,True,N73
Ar II,4564.405,7,,True,N73
Ar II,4579.35,130,,True,N73
Ar II,4589.898,130,,True,N73
Ar II,4609.567,200,P,True,N73
Ar II,4637.233,12,,True,N73
Ar II,4657.901,130,,True,N73
Ar II,4721.591,7,,True,N73
Ar II,4726.868,200,P,True,N73
Ar II,4732.053,15,,True,N73
Ar II,4735.906,100,,True,N73
Ar II,4764.865,250,P,True,N73
Ar II,4806.02,200,P,True,N73
Ar II,4847.81,50,,True,N73
Ar II,4865.91,15,,True,N73
Ar II,4879.864,250,P,True,N73
Ar II,4889.042,25,,True,N73
Ar II,4904.752,7,,True,N73
Ar II,4933.209,12,,True,N73
Ar II,4965.08,70,,True,N73
Ar II,5009.334,15,,True,N73
Ar II,5017.163,25,,True,N73
Ar II,5062.037,25,,True,N73
Ar II,5090.495,7,,True,N73
Ar II,5141.783,30,,True,N73
Ar II,5145.308,25,,True,N73
Ar II,5165.773,8,,True,N73
Ar I,5187.746,1,,True,N73
Ar II,5216.814,7,,True,N73
Ar I,5495.874,1,,True,N73
Ar I,5558.702,1,,True,N73
Ar I,5606.733,1,,True,N73
Ar I,5650.704,1,,True,N73
Ar I,5888.584,1,,True,N73
Ar I,5912.085,1,,True,N73
Ar I,6032.127,2,,True,N73
Ar I,6043.223,1,,True,N73
Ar I,6059.372,1,,True,N73
Ar II,6114.923,30,,True,N73
Ar II,6172.278,50,,True,N73
Ar II,6243.12,8,,True,N73
Ar I,6384.717,1,,True,N73
Ar I,6416.307,2,,True,N73
Ar II,6483.082,8,,True,N73
Ar II,6638.221,8,,True,N73
Ar II,6639.74,7,,True,N73
Ar II,6643.698,15,,True,N73
Ar II,6666.359,8,,True,N73
Ar I,6677.282,3,,True,N73
Ar II,6684.293,12,,True,N73
Ar I,6752.834,4,,True,N73
Ar II,6861.269,7,,True,N73
Ar I,6871.289,4,,True,N73
Ar I,6937.664,1,,True,N73
Ar I,6965.431,300,P,True,N73
Ar I,7030.251,4,,True,N73
Ar I,7067.218,300,P,True,N73
Ar I,7068.736,3,,True,N73
Ar I,7107.478,1,,True,N73
Ar I,7125.82,1,,True,N73
Ar I,7147.042,30,,True,N73
Ar I,7206.98,2,,True,N73
Ar I,7272.936,60,,True,N73
Ar I,7311.716,1,,True,N73
Ar I,7316.005,1,,True,N73
Ar I,7353.293,2,,True,N73
Ar I,7372.118,6,,True,N73
Ar II,7380.426,7,,True,N73
Ar I,7383.98,300,,True,N73
Ar I,7392.98,1,,True,N73
Ar I,7435.368,1,,True,N73
Ar I,7503.869,600,P,True,N73
Ar I,7514.652,400,,True,N73
Ar I,7635.106,700,P,True,N73
Ar I,7723.761,400,,True,N73
Ar I,7724.207,300,,True,N73
Ar I,7948.176,600,P,True,N73
Ar I,8006.157,600,P,True,N73
Ar I,8014.786,700,P,True,N73
Ar I,8103.693,600,P,True,N73
Ar I,8115.311,1000,P,True,N73
Ar I,8264.522,300,,True,N73
Ar I,8392.27,1,,True,M73
Ar I,8408.21,400,,True,N73
Ar I,8424.648,600,,True,N73
Ar I,8521.442,400,,True,N73
Ar I,8667.944,130,,True,N73
Ar II,8771.86,7,,True,N73
Ar I,8849.91,5,,True,M73
Ar I,9075.394,1,,True,N73
Ar I,9122.967,1000,P,True,N73
Ar I,9194.638,15,,True,N73
Ar I,9224.499,400,,True,N73
Ar I,9291.531,11,,True,N73
Ar I,9354.22,50,,True,N73
Ar I,9657.786,700,P,True,N73
Ar I,9784.503,130,,True,N73
Ar I,10052.06,5,,True,M73
Ar I,10332.72,1,,True,M73
Ar II,10467.177,30,,True,N73
Ar I,10470.054,50,,True,N73
Ar I,10506.5,5,,True,M73
Ar I,10673.565,6,,True,N73
Ar II,10683.034,2,,True,N73
Ar I,10733.87,1,,True,M73
Ar I,10759.16,1,,True,M73
Ar II,10812.896,2,,True,N73
Ar I,11106.46,1,,True,M73
Ar I,11488.109,11,,True,N73
Ar I,11668.71,6,,True,N73
Ar I,12112.326,6,,True,N73
Ar I,12139.738,1,,True,N73
Ar I,12343.393,1,,True,N73
Ar I,12402.827,6,,True,N73
Ar I,12439.321,6,,True,N73
Ar I,12456.12,3,,True,N73
Ar I,12487.663,6,,True,N73
Ar I,12702.281,4,,True,N73
Ar I,12733.418,1,,True,N73
Ar I,12802.739,6,,True,N73
Ar I,12933.195,1,,True,N73
Ar I,12956.659,14,,True,N73
Ar I,13008.264,6,,True,N73
Ar I,13213.99,6,,True,N73
Ar I,13228.107,6,,True,N73
Ar I,13230.9,3,,True,N73
Ar I,13272.64,14,,True,N73
Ar I,13313.21,30,,True,N73
Ar I,13367.111,30,,True,N73
Ar I,13499.41,1,,True,N73
Ar I,13504.191,30,,True,N73
Ar I,13599.333,1,,True,N73
Ar I,13622.659,11,,True,N73
Ar I,13678.55,6,,True,N73
Ar I,13718.577,30,,True,N73
Ar I,14093.64,6,,True,N73
Ar I,15046.5,3,,True,N73
Ar I,15172.69,1,,True,N73
Ar I,15989.49,1,,True,N73
Ar I,16519.86,1,,True,N73
Ar I,16940.58,14,,True,N73
Ar I,20616.23,1,,True,N73
Ar I,20986.11,1,,True,N73
Ar I,23133.2,1,,True,N73
Ar I,23966.52,1,,True,N73
Hg II,2026.86,20,,True,SR01
Hg II,2052.828,400,P,True,SR01
Hg II,2224.711,20,,True,SR01
Hg II,2252.786,10,,True,SR01
Hg II,2260.294,60,,True,SR01
Hg II,2262.223,400,P,True,SR01
Hg II,2263.634,10,,True,SR01
Hg I,2536.517,1000,Pc,True,BAL50
Hg I,2652.039,25,,True,BAL50
Hg I,2653.679,40,,True,BAL50
Hg II,2847.675,400,P,True,SR01
Hg II,2916.25,30,,True,SR01
Hg II,2947.074,25,,True,SR01
Hg I,2967.28,250,P,True,BAL50
Hg I,3021.498,70,,True,BAL50
Hg I,3125.668,90,,True,BAL50
Hg I,3131.548,80,,True,BAL50
Hg I,3131.839,80,,True,BAL50
Hg II,3208.169,12,,True,SR01
Hg II,3532.594,10,,True,SR01
Hg II,3605.762,10,,True,SR01
Hg I,3650.153,600,P,True,BAL50
Hg I,3654.836,70,,True,BAL50
Hg I,3663.279,50,,True,BAL50
Hg II,3983.931,1000,Pc,True,SR01
Hg I,4046.563,400,P,True,BAL50
Hg I,4339.223,60,,True,BAL50
Hg I,4347.494,100,,True,BAL50
Hg I,4358.328,1000,P,True,BAL50
Hg II,5128.442,12,c,True,SR01
Hg II,5204.768,15,,True,SR01
Hg II,5425.253,80,P,True,SR01
Hg I,5460.735,500,P,True,BAL50
Hg II,5677.105,200,P,True,SR01
Hg I,5769.598,50,,True,BAL50
Hg I,5790.663,60,,True,BAL50
Hg II,5871.279,12,,True,SR01
Hg II,5888.939,20,c,True,SR01
Hg II,6146.435,15,,True,SR01
Hg II,6149.475,250,Pc,True,SR01
Hg I,7081.9,25,,True,F54
Hg II,7346.508,6,,True,SR01
Hg II,7944.555,250,P,True,SR01
Hg II,9520.198,6,h,True,SR01
Hg I,10139.76,200,P,True,BAL50
Hg I,13570.21,50,,True,H53
Hg I,13673.51,40,,True,H53
Hg I,15295.82,50,,True,H53
Hg I,17072.79,50,,True,H53
Hg I,23253.07,25,,True,PBT55
He II,2385.4,7,c,True,GM65
He II,2511.2,9,c,True,GM65
He I,2723.19,1,,True,M60a
He II,2733.3,12,c,True,GM65
He I,2763.8,2,,True,M60a
He I,2818.2,10,,True,BDD72
He I,2829.08,4,,True,M60a
He I,2945.11,10,,True,M60a
He I,3013.7,40,,True,BDD72
He I,3187.74,20,,True,M60a
He II,3203.1,15,c,True,GM65
He I,3354.55,1,,True,M60a
He I,3447.59,2,,True,M60a
He I,3587.27,1,,True,M60a
He I,3613.64,3,,True,M60a
He I,3634.23,2,,True,M60a
He I,3705.0,3,,True,M60a
He I,3732.86,1,,True,M60a
He I,3819.607,10,,True,M60a
He I,3819.76,1,,True,M60a
He I,3888.6046,60,P,True,M02
He I,3888.6456,200,P,True,M02
He I,3888.6489,300,P,True,M02
He I,3964.729,20,,True,M60a
He I,4009.27,1,,True,M60a
He I,4026.191,50,,True,M60a
He I,4026.36,5,,True,M60a
He I,4120.82,12,,True,M60a
He I,4120.99,2,,True,M60a
He I,4143.76,3,,True,M60a
He I,4387.929,10,,True,M60a
He I,4437.55,3,,True,M60a
He I,4471.479,200,,True,M60a
He I,4471.68,25,,True,M60a
He II,4685.3769,4,Pc,True,MK00b
He II,4685.4072,3,Pc,True,MK00b
He II,4685.7038,15,*   Pc,True,MK00b
He II,4685.7044,15,*   Pc,True,MK00b
He II,4685.8041,12,Pc,True,MK00b
He I,4713.146,30,,True,M60a
He I,4713.38,4,,True,M60a
He I,4921.931,20,,True,M60a
He I,5015.678,100,,True,M60a
He I,5047.74,10,,True,M60a
He II,5411.52,5,c,True,GM65
He I,5875.6148,500,P,True,M02
He I,5875.6404,250,P,True,M02
He I,5875.9663,120,P,True,M02
He II,6560.1,8,c,True,GM65
He I,6678.1517,200,P,True,M02
He I,6867.48,3,,True,M60a
He I,7065.1771,100,P,True,M02
He I,7065.2153,60,P,True,M02
He I,7065.7086,20,P,True,M02
He I,7281.35,50,,True,M60a
He I,7816.15,1,,True,M60a
He I,8361.69,2,,True,M60a
He I,9063.27,2,,True,M60a
He I,9210.34,2,,True,M60a
He I,9463.61,10,,True,M60a
He I,9516.6,4,,True,M60a
He I,9526.17,3,,True,M60a
He I,9529.27,1,,True,M60a
He I,9603.42,1,,True,M60a
He I,9702.6,3,,True,M60a
He I,10027.73,6,,True,M60a
He I,10031.16,2,,True,M60a
He II,10123.6,15,c,True,GM65
He I,10138.5,1,,True,M60a
He I,10311.23,10,,True,M60a
He I,10311.54,2,,True,M60a
He I,10667.65,3,,True,M60a
He I,10829.0911,150,P,True,M02
He I,10830.2501,500,P,True,M02
He I,10830.3398,1000,P,True,M02
He I,10913.05,9,,True,L70a
He I,10917.1,3,,True,L70a
He II,11626.4,4,c,True,GM65
He I,11969.12,30,,True,L70a
He I,12527.52,20,,True,L70a
He I,12784.99,50,,True,L70a
He I,12790.57,20,,True,L70a
He I,12845.96,7,,True,L70a
He I,12968.45,10,,True,L70a
He I,12984.89,2,,True,L70a
He I,15083.64,12,,True,L70a
He I,17002.47,200,,True,L70a
He I,18555.55,1,,True,M60a
He II,18636.8,6,c,True,GM65
He I,18685.34,500,,True,L70a
He I,18697.23,200,,True,L70a
He I,19089.38,100,,True,L70a
He I,19543.08,20,,True,L70a
He I,20581.287,500,P,True,M02
He I,21120.07,80,,True,L70a
He I,21121.43,10,,True,L70a
He I,21132.03,20,,True,L70a
He II,30908.5,3,c,True,GM65
He I,40478.9,4,,True,L70a
